1384031182.64 ['  File "uppir_vendor.py", line 409, in <module>\n    main()\n', '  File "uppir_vendor.py", line 375, in main\n    rawmanifestdata = open(_commandlineoptions.manifestfilename).read()\n']
1384031223.38 ready to start servers!
1384031223.39 servers started!
1384032736.25 UPPIRVendor 127.0.0.1 51320 mirrorinfo update 34
1384032738.97 UPPIRVendor 127.0.0.1 51321 mirrorinfo update 34
1384032793.47 UPPIRVendor 127.0.0.1 51322 mirrorinfo update 34
1384032796.25 UPPIRVendor 127.0.0.1 51323 mirrorinfo update 34
1384032798.97 UPPIRVendor 127.0.0.1 51324 mirrorinfo update 34
1384032853.47 UPPIRVendor 127.0.0.1 51408 mirrorinfo update 34
1384032856.25 UPPIRVendor 127.0.0.1 51419 mirrorinfo update 34
1384032858.98 UPPIRVendor 127.0.0.1 51422 mirrorinfo update 34
1384032913.47 UPPIRVendor 127.0.0.1 51442 mirrorinfo update 34
1384032916.26 UPPIRVendor 127.0.0.1 51445 mirrorinfo update 34
1384032918.99 UPPIRVendor 127.0.0.1 51446 mirrorinfo update 34
1384032973.48 UPPIRVendor 127.0.0.1 51448 mirrorinfo update 34
1384032976.26 UPPIRVendor 127.0.0.1 51449 mirrorinfo update 34
1384032978.99 UPPIRVendor 127.0.0.1 51459 mirrorinfo update 34
1384033033.48 UPPIRVendor 127.0.0.1 51603 mirrorinfo update 34
1384033036.26 UPPIRVendor 127.0.0.1 51617 mirrorinfo update 34
1384033038.99 UPPIRVendor 127.0.0.1 51623 mirrorinfo update 34
1384033093.48 UPPIRVendor 127.0.0.1 51656 mirrorinfo update 34
1384033096.27 UPPIRVendor 127.0.0.1 51657 mirrorinfo update 34
1384033099.0 UPPIRVendor 127.0.0.1 51658 mirrorinfo update 34
1384033153.49 UPPIRVendor 127.0.0.1 51660 mirrorinfo update 34
1384033156.27 UPPIRVendor 127.0.0.1 51661 mirrorinfo update 34
1384033159.0 UPPIRVendor 127.0.0.1 51662 mirrorinfo update 34
1384033213.49 UPPIRVendor 127.0.0.1 51684 mirrorinfo update 34
1384033216.27 UPPIRVendor 127.0.0.1 51685 mirrorinfo update 34
1384033219.0 UPPIRVendor 127.0.0.1 51686 mirrorinfo update 34
1384033273.49 UPPIRVendor 127.0.0.1 51710 mirrorinfo update 34
1384033276.28 UPPIRVendor 127.0.0.1 51711 mirrorinfo update 34
1384033279.0 UPPIRVendor 127.0.0.1 51716 mirrorinfo update 34
1384033333.5 UPPIRVendor 127.0.0.1 51726 mirrorinfo update 34
1384033336.28 UPPIRVendor 127.0.0.1 51727 mirrorinfo update 34
1384033339.01 UPPIRVendor 127.0.0.1 51728 mirrorinfo update 34
1384033393.5 UPPIRVendor 127.0.0.1 51752 mirrorinfo update 34
1384033396.28 UPPIRVendor 127.0.0.1 51753 mirrorinfo update 34
1384033399.01 UPPIRVendor 127.0.0.1 51754 mirrorinfo update 34
1384033453.51 UPPIRVendor 127.0.0.1 51779 mirrorinfo update 34
1384033456.3 UPPIRVendor 127.0.0.1 51780 mirrorinfo update 34
1384033459.01 UPPIRVendor 127.0.0.1 51781 mirrorinfo update 34
1384033513.51 UPPIRVendor 127.0.0.1 51800 mirrorinfo update 34
1384033516.3 UPPIRVendor 127.0.0.1 51804 mirrorinfo update 34
1384033519.02 UPPIRVendor 127.0.0.1 51806 mirrorinfo update 34
1384033573.51 UPPIRVendor 127.0.0.1 51815 mirrorinfo update 34
1384033576.31 UPPIRVendor 127.0.0.1 51816 mirrorinfo update 34
1384033579.02 UPPIRVendor 127.0.0.1 51817 mirrorinfo update 34
1384033633.52 UPPIRVendor 127.0.0.1 51835 mirrorinfo update 34
1384033636.31 UPPIRVendor 127.0.0.1 51836 mirrorinfo update 34
1384033639.03 UPPIRVendor 127.0.0.1 51837 mirrorinfo update 34
1384033693.53 UPPIRVendor 127.0.0.1 51862 mirrorinfo update 34
1384033696.31 UPPIRVendor 127.0.0.1 51863 mirrorinfo update 34
1384033699.03 UPPIRVendor 127.0.0.1 51864 mirrorinfo update 34
1384033753.53 UPPIRVendor 127.0.0.1 51865 mirrorinfo update 34
1384033756.32 UPPIRVendor 127.0.0.1 51866 mirrorinfo update 34
1384033759.04 UPPIRVendor 127.0.0.1 51867 mirrorinfo update 34
1384033813.53 UPPIRVendor 127.0.0.1 51874 mirrorinfo update 34
1384033816.32 UPPIRVendor 127.0.0.1 51875 mirrorinfo update 34
1384033819.04 UPPIRVendor 127.0.0.1 51876 mirrorinfo update 34
1384033873.54 UPPIRVendor 127.0.0.1 51881 mirrorinfo update 34
1384033876.32 UPPIRVendor 127.0.0.1 51882 mirrorinfo update 34
1384033879.04 UPPIRVendor 127.0.0.1 51883 mirrorinfo update 34
1384033933.54 UPPIRVendor 127.0.0.1 51884 mirrorinfo update 34
1384033936.33 UPPIRVendor 127.0.0.1 51885 mirrorinfo update 34
1384033939.05 UPPIRVendor 127.0.0.1 51886 mirrorinfo update 34
1384033993.54 UPPIRVendor 127.0.0.1 51887 mirrorinfo update 34
1384033996.33 UPPIRVendor 127.0.0.1 51889 mirrorinfo update 34
1384033999.05 UPPIRVendor 127.0.0.1 51890 mirrorinfo update 34
1384034053.55 UPPIRVendor 127.0.0.1 51891 mirrorinfo update 34
1384034056.34 UPPIRVendor 127.0.0.1 51892 mirrorinfo update 34
1384034059.05 UPPIRVendor 127.0.0.1 51893 mirrorinfo update 34
1384034113.55 UPPIRVendor 127.0.0.1 51894 mirrorinfo update 34
1384034116.34 UPPIRVendor 127.0.0.1 51895 mirrorinfo update 34
1384034119.06 UPPIRVendor 127.0.0.1 51896 mirrorinfo update 34
1384034173.56 UPPIRVendor 127.0.0.1 51930 mirrorinfo update 34
1384034176.35 UPPIRVendor 127.0.0.1 51931 mirrorinfo update 34
1384034179.06 UPPIRVendor 127.0.0.1 51932 mirrorinfo update 34
1384034233.56 UPPIRVendor 127.0.0.1 51936 mirrorinfo update 34
1384034236.35 UPPIRVendor 127.0.0.1 51937 mirrorinfo update 34
1384034239.06 UPPIRVendor 127.0.0.1 51938 mirrorinfo update 34
1384034293.56 UPPIRVendor 127.0.0.1 51939 mirrorinfo update 34
1384034296.35 UPPIRVendor 127.0.0.1 51940 mirrorinfo update 34
1384034299.06 UPPIRVendor 127.0.0.1 51941 mirrorinfo update 34
1384034353.57 UPPIRVendor 127.0.0.1 51942 mirrorinfo update 34
1384034356.36 UPPIRVendor 127.0.0.1 51943 mirrorinfo update 34
1384034359.07 UPPIRVendor 127.0.0.1 51944 mirrorinfo update 34
1384034413.57 UPPIRVendor 127.0.0.1 51945 mirrorinfo update 34
1384034416.36 UPPIRVendor 127.0.0.1 51946 mirrorinfo update 34
1384034419.08 UPPIRVendor 127.0.0.1 51947 mirrorinfo update 34
1384034473.57 UPPIRVendor 127.0.0.1 51948 mirrorinfo update 34
1384034476.36 UPPIRVendor 127.0.0.1 51949 mirrorinfo update 34
1384034479.08 UPPIRVendor 127.0.0.1 51950 mirrorinfo update 34
1384034533.58 UPPIRVendor 127.0.0.1 51951 mirrorinfo update 34
1384034536.37 UPPIRVendor 127.0.0.1 51952 mirrorinfo update 34
1384034539.08 UPPIRVendor 127.0.0.1 51953 mirrorinfo update 34
1384034593.58 UPPIRVendor 127.0.0.1 51991 mirrorinfo update 34
1384034596.37 UPPIRVendor 127.0.0.1 51992 mirrorinfo update 34
1384034599.08 UPPIRVendor 127.0.0.1 51993 mirrorinfo update 34
1384034653.58 UPPIRVendor 127.0.0.1 52025 mirrorinfo update 34
1384034656.37 UPPIRVendor 127.0.0.1 52026 mirrorinfo update 34
1384034659.09 UPPIRVendor 127.0.0.1 52027 mirrorinfo update 34
1384034713.58 UPPIRVendor 127.0.0.1 52039 mirrorinfo update 34
1384034716.38 UPPIRVendor 127.0.0.1 52040 mirrorinfo update 34
1384034719.09 UPPIRVendor 127.0.0.1 52041 mirrorinfo update 34
1384034773.59 UPPIRVendor 127.0.0.1 52043 mirrorinfo update 34
1384034776.38 UPPIRVendor 127.0.0.1 52044 mirrorinfo update 34
1384034779.1 UPPIRVendor 127.0.0.1 52045 mirrorinfo update 34
1384034833.59 UPPIRVendor 127.0.0.1 52048 mirrorinfo update 34
1384034836.38 UPPIRVendor 127.0.0.1 52049 mirrorinfo update 34
1384034839.1 UPPIRVendor 127.0.0.1 52050 mirrorinfo update 34
1384034893.6 UPPIRVendor 127.0.0.1 52051 mirrorinfo update 34
1384034896.39 UPPIRVendor 127.0.0.1 52052 mirrorinfo update 34
1384034899.1 UPPIRVendor 127.0.0.1 52053 mirrorinfo update 34
1384034953.6 UPPIRVendor 127.0.0.1 52054 mirrorinfo update 34
1384034956.39 UPPIRVendor 127.0.0.1 52055 mirrorinfo update 34
1384034959.11 UPPIRVendor 127.0.0.1 52056 mirrorinfo update 34
1384035013.6 UPPIRVendor 127.0.0.1 52057 mirrorinfo update 34
1384035016.39 UPPIRVendor 127.0.0.1 52058 mirrorinfo update 34
1384035019.11 UPPIRVendor 127.0.0.1 52059 mirrorinfo update 34
1384035073.6 UPPIRVendor 127.0.0.1 52062 mirrorinfo update 34
1384035076.4 UPPIRVendor 127.0.0.1 52063 mirrorinfo update 34
